answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant
a,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,a,0.333522146,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,a,0.36685659,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F045.png,F046.png,1.2,0,153,0,20,20,20,,,,,,,d,0.333609829,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.4,1,34,0,21,21,21,,,,,,,a,0.333566864,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F045.png,F046.png,1.4,0,209,0,22,22,22,,,,,,,d,0.400406443,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.8,1,249,0,23,23,23,,,,,,,d,0.500231777,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.6,1,154,0,24,24,24,,,,,,,d,0.43355909,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.2,1,182,0,25,25,25,,,,,,,d,0.366912415,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.2,1,178,0,26,26,26,,,,,,,d,0.400259135,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.6,1,105,0,27,27,27,,,,,,,d,0.366884649,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.4,1,146,0,28,28,28,,,,,,,a,0.366917091,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F046.png,F045.png,1.8,0,85,0,29,29,29,,,,,,,a,0.533567683,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.4,1,176,0,30,30,30,,,,,,,a,0.466997293,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.2,1,1,0,31,31,31,,,,,,,a,0.400280471,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.2,1,94,0,32,32,32,,,,,,,d,0.733522906,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.8,1,40,0,33,33,33,,,,,,,d,0.550213276,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.8,1,54,0,34,34,34,,,,,,,d,0.483574493,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F046.png,F045.png,1.8,0,205,0,35,35,35,,,,,,,a,0.500253406,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.8,1,169,0,36,36,36,,,,,,,a,0.333563942,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
