answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,d,0.600285966816,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,d,0.416906531173,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,d,0.466959492321,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,a,0.600285674535,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,d,0.500299002507,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,d,0.500294618305,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,a,0.500232070372,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,d,0.350227218522,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,a,0.500303678988,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,d,0.300210792383,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,d,0.516895833723,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F045.png,F046.png,1.2,0,153,0,20,20,20,,,,,,,a,0.416913838175,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.4,1,34,0,21,21,21,,,,,,,a,0.450257732561,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F045.png,F046.png,1.4,0,209,0,22,22,22,,,,,,,d,0.516865728876,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.8,1,249,0,23,23,23,,,,,,,d,0.466946047438,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.6,1,154,0,24,24,24,,,,,,,d,0.450237272957,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.2,1,182,0,25,25,25,,,,,,,d,0.400218216297,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.2,1,178,0,26,26,26,,,,,,,d,0.38371228418,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.6,1,105,0,27,27,27,,,,,,,d,0.366825511139,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.4,1,146,0,28,28,28,,,,,,,a,0.350221957482,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F046.png,F045.png,1.8,0,85,0,29,29,29,,,,,,,a,0.550235343909,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.4,1,176,0,30,30,30,,,,,,,a,0.416946573542,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.2,1,1,0,31,31,31,,,,,,,a,0.4502527638,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.2,1,94,0,32,32,32,,,,,,,d,0.366886013112,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.8,1,40,0,33,33,33,,,,,,,d,0.533575672478,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
