answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
d,F028.png,F034.png,1.6,1,105,,,,,0,27,27,27,,,,,d,0.316961319847,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F034.png,F028.png,1.4,0,146,,,,,0,28,28,28,,,,,a,0.30034281619,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F034.png,F028.png,1.8,1,85,,,,,0,29,29,29,,,,,a,0.36692702069,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F028.png,F034.png,1.4,1,176,,,,,0,30,30,30,,,,,d,0.316872466473,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F028.png,F034.png,1.2,1,1,,,,,0,31,31,31,,,,,d,0.283626690734,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F034.png,F028.png,1.2,1,94,,,,,0,32,32,32,,,,,a,0.450285222252,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F034.png,F028.png,1.8,1,40,,,,,0,33,33,33,,,,,a,0.350199204002,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F034.png,F028.png,1.8,0,54,,,,,0,34,34,34,,,,,a,0.350260875259,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F028.png,F034.png,1.8,0,205,,,,,0,35,35,35,,,,,d,0.300229703507,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F028.png,F034.png,1.8,1,169,,,,,0,36,36,36,,,,,d,0.316919815969,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F028.png,F034.png,1.6,0,96,,,,,0,37,37,37,,,,,d,0.450260378381,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F034.png,F028.png,1.6,1,252,,,,,0,38,38,38,,,,,a,0.283632536351,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F028.png,F034.png,1.6,1,5,,,,,0,39,39,39,,,,,d,0.333577192976,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
